database,id,speaker,emotion,transcription,sentence_path,duration
EmoV-DB,disgusted_141-168_0149,bea,disgusted,For an instant he saw Pierre drawn like a silhouette against the sky.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0149.wav,5.070068027210883
EmoV-DB,disgusted_85-112_0090,bea,disgusted,The singing voice approached rapidly.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0090.wav,1.9299773242630385
EmoV-DB,disgusted_309-336_0325,bea,disgusted,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_309-336_0325.wav,1.5300680272108844
EmoV-DB,disgusted_225-252_0239,bea,disgusted,He cried in such genuine dismay that she broke into hearty laughter.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_225-252_0239.wav,3.8499773242630386
EmoV-DB,disgusted_113-140_0122,bea,disgusted,Two years ago I gave up civilization for this.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_113-140_0122.wav,6.669206349206347
EmoV-DB,disgusted_281-308_0285,bea,disgusted,But what they want with your toothbrush is more than I can imagine.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0285.wav,4.362358276643992
EmoV-DB,disgusted_253-280_0270,bea,disgusted,And after the bath a shave would not be bad.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_253-280_0270.wav,4.423809523809523
EmoV-DB,disgusted_29-56_0051,bea,disgusted,"The lace was of a delicate ivory color, faintly tinted with yellow.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_29-56_0051.wav,6.911428571428571
EmoV-DB,disgusted_141-168_0155,bea,disgusted,"Won't you draw up, gentlemen.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_141-168_0155.wav,4.3769614512471655
EmoV-DB,disgusted_281-308_0298,bea,disgusted,This tacit promise of continued acquaintance gave Saxon a little joy-thrill.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_281-308_0298.wav,3.133514739229025
EmoV-DB,disgusted_85-112_0108,bea,disgusted,He waded into the edge of the water and began scrubbing himself.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0108.wav,6.719863945578233
EmoV-DB,disgusted_85-112_0088,bea,disgusted,"He made sure that the magazine was loaded, and resumed his paddling.",/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_85-112_0088.wav,7.209206349206347
EmoV-DB,disgusted_169-196_0185,bea,disgusted,The questions may have come vaguely in his mind.,/data2/sungjaecho/data_tts/EmoV-DB-original/EmoV-DB_sorted/bea/disgusted/disgusted_169-196_0185.wav,6.246213151927438
